,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
693,"('212.179.180.110', 443)",1051,60,107.53333333333333,0.0,142.73407286123225,20373.015555555558,5.115031886059288,29.394149229023938,60.0,60.0,60.0,60.0,60.0,66.0,71.39999999999995,92.0,200.0,55,1414,54,326.74545454545455,56.33888430321287,463.45058452603195,214786.4442975207,1.6581494665877394,1.1251740487281081,54.0,54.0,55.0,66.0,92.0,96.0,243.1999999999999,518.2000000000002,1414.0,115,1414,54,212.37391304347827,17.791226622067224,354.03972906194207,125344.12975425333,2.675224735064214,5.898109794242053,54.4,60.0,60.0,60.0,66.0,85.59999999999997,92.0,216.0,544.6000000000006,2035.25,1.0833333333333333,0.2763853991962833,12,9.583333333333334,1,0.8313725490196079,0.7019607843137254,0.7058823529411765,0.43137254901960786,169
694,"('74.125.136.120', 443)",811,60,118.125,8.895613311033612,179.52815761044283,32230.359375,3.572352943974943,10.87281196932527,60.0,60.0,63.0,66.0,66.0,66.0,75.0,88.0,105.5,17,571,54,106.05882352941177,1.482602218505602,125.37260728500245,15718.290657439447,3.0533820053904153,8.257414361462597,54.0,54.0,54.800000000000004,55.0,55.0,61.6,84.8,94.4,161.00000000000006,33,811,54,111.9090909090909,16.30862440356162,154.14443514785847,23760.506887052343,3.6234651217746383,12.236410105701077,54.0,55.0,58.0,60.0,66.0,66.0,84.0,92.80000000000001,107.6,527.5714285714286,1.0,0.0,7,4.714285714285714,1,0.2901960784313726,0.49019607843137253,0.5333333333333333,0.47058823529411764,169
695,"('216.58.211.227', 443)",1414,60,296.04761904761904,8.895613311033612,467.800168589566,218836.99773242636,1.8680234814392336,1.7021933561297828,60.0,60.0,66.0,66.0,66.0,84.0,102.0,340.0,1414.0,19,329,54,88.47368421052632,1.482602218505602,73.97821046273489,5472.775623268699,2.4733091854398284,4.655639283375868,54.0,54.0,54.0,55.0,55.0,55.0,76.8,91.2,132.3999999999999,40,1414,54,197.45,17.791226622067224,358.09746927338097,128233.79750000002,2.9158234766836895,7.017291906813716,54.0,55.0,58.5,60.0,66.0,67.6,88.0,103.40000000000002,354.60000000000025,1128.2857142857142,1.1428571428571428,0.3499271061118826,7,5.714285714285714,1,0.8470588235294118,0.22745098039215686,0.8274509803921568,0.8901960784313725,169
696,"('212.179.154.237', 443)",1414,60,204.125,4.447806655516806,290.20765733350316,84220.484375,2.6334976881369463,7.226642267685085,60.0,60.0,60.0,60.0,63.0,66.0,120.89999999999998,369.60000000000014,502.0000000000002,26,571,54,116.46153846153847,45.96066877367366,109.09531145859809,11901.786982248525,2.9203751709859964,8.932797373519639,54.0,55.0,55.0,66.0,86.0,92.0,94.0,169.0,213.0,58,1414,54,164.82758620689654,17.791226622067224,231.73782287176604,53702.41854934601,3.366765751918353,13.138113809214289,55.0,60.0,60.0,60.0,66.0,88.79999999999998,98.69999999999999,171.2,421.0,1365.7142857142858,1.1428571428571428,0.34992710611188266,7,8.285714285714286,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.9294117647058824,169
697,"('212.179.180.88', 443)",1414,60,339.1111111111111,8.895613311033612,476.3057945023798,226867.20987654323,1.491098186958807,0.5214358241444872,60.0,60.0,60.0,60.0,66.0,94.39999999999996,177.39999999999992,581.2000000000006,1250.2000000000003,17,1197,54,193.1764705882353,44.478066555168056,285.6071417986021,81571.43944636678,2.6451997931311895,6.213999752252562,54.0,54.0,54.800000000000004,59.400000000000006,84.0,90.4,96.6,235.80000000000013,430.60000000000014,35,1414,54,268.22857142857146,17.791226622067224,402.0135097740079,161614.86204081634,1.9803311635046075,2.451243484773009,54.0,59.0,60.0,60.0,66.0,89.6,128.5999999999999,331.20000000000005,1004.8000000000006,3129.3333333333335,1.0,0.0,3,11.666666666666666,1,0.8313725490196079,0.7019607843137254,0.7058823529411765,0.34509803921568627,169
698,"('212.179.154.210', 443)",1414,60,207.175,8.895613311033612,322.11301491091604,103756.79437500003,2.8182670522295257,7.273712299606606,60.0,60.0,60.0,63.60000000000001,66.0,87.19999999999999,105.19999999999987,251.2,516.1000000000004,32,412,54,101.625,45.96066877367366,81.41358532210702,6628.171875,2.5873765281393446,6.074988987592885,54.0,54.0,55.0,55.0,86.0,92.0,92.0,98.4,135.9,72,1414,54,160.26388888888889,17.791226622067224,251.673067968013,63339.333140432085,3.7959398402282405,14.978080964445326,54.1,60.0,60.0,60.0,66.0,92.0,92.0,136.0,322.6999999999999,1153.9,1.0,0.0,10,7.2,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.8235294117647058,169
699,"('212.179.154.244', 443)",1414,60,269.0,8.895613311033612,385.5543461642649,148652.15384615384,2.0680253848522585,3.215044299118717,60.0,60.0,60.0,60.0,66.0,84.0,208.0,422.0,742.0,22,412,54,108.86363636363636,31.134646588617642,95.24146129923261,9070.935950413223,2.140221449443516,3.350442454040931,54.0,54.0,54.3,55.0,75.0,90.4,92.0,98.4,253.00000000000028,48,1414,54,195.60416666666666,17.791226622067224,301.7346888951266,91043.82248263886,2.9708169220702234,8.583640428554421,54.0,57.0,60.0,60.0,66.0,88.8,95.6,251.6,443.00000000000034,1564.8333333333333,1.0,0.0,6,8.0,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.9568627450980393,169
700,"('216.58.208.66', 443)",1414,60,314.6,41.51286211815685,433.07671375865965,187555.44000000003,1.862484660025464,2.05664345559536,60.0,60.0,66.0,68.4,88.0,95.99999999999999,330.59999999999985,422.80000000000007,1090.0000000000011,20,329,54,110.75,31.134646588617642,87.95218871637022,7735.5875,1.5918993013086038,0.9722765317058766,54.0,54.0,54.0,55.0,75.0,89.6,93.19999999999999,118.60000000000011,275.20000000000005,45,1414,54,224.0,35.58245324413445,343.35980480474933,117895.95555555556,2.7530951270926525,6.689121641816763,54.0,59.0,60.0,66.0,84.0,92.0,101.39999999999999,316.20000000000005,426.40000000000003,3360.0,1.3333333333333333,0.4714045207910317,3,15.0,1,0.8470588235294118,0.22745098039215686,0.8156862745098039,0.25882352941176473,169
701,"('212.179.154.216', 443)",1414,60,308.2676056338028,8.895613311033612,423.6541892265396,179482.8720491966,1.6677318661604108,1.4577932909431341,60.0,60.0,60.0,66.0,66.0,92.0,193.0,526.0,962.0,61,1403,54,159.37704918032787,17.791226622067224,241.09022621868752,58124.497178177924,3.166381780013729,10.829718142571085,54.0,54.0,55.0,55.0,66.0,88.0,92.0,99.0,405.0,132,1414,54,239.46212121212122,17.791226622067224,359.04162005098215,128910.88492883381,2.206497830669219,3.9108329541802798,54.0,55.0,60.0,66.0,66.0,90.39999999999998,92.0,377.8000000000007,742.0,2873.5454545454545,1.0909090909090908,0.28747978728803447,11,12.0,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.8470588235294118,169
702,"('173.194.42.247', 443)",811,60,117.75,8.895613311033612,179.64287489349528,32271.5625,3.5711857253257793,10.86744488657141,60.0,60.0,60.0,66.0,66.0,66.0,75.0,88.0,105.5,17,571,54,106.05882352941177,1.482602218505602,125.37260728500245,15718.290657439447,3.0533820053904153,8.257414361462597,54.0,54.0,54.800000000000004,55.0,55.0,61.6,84.8,94.4,161.00000000000006,33,811,54,111.72727272727273,16.30862440356162,154.20200696867744,23778.258953168042,3.6225891168342734,12.23089675392943,54.0,55.0,58.0,60.0,66.0,66.0,84.0,92.80000000000001,107.6,526.7142857142857,1.4285714285714286,0.4948716593053935,7,4.714285714285714,1,0.6784313725490196,0.7607843137254902,0.16470588235294117,0.9686274509803922,169
703,"('74.125.71.154', 443)",1414,60,347.89473684210526,41.51286211815685,477.8295109672973,228321.04155124654,1.6328077264151664,0.9832432940753124,60.0,63.6,66.0,72.8,88.0,100.0,320.0,428.8,1414.0,17,365,54,113.3529411764706,17.791226622067224,99.4969353216887,9899.640138408304,1.6896387870692653,1.1673456759046035,54.0,54.0,54.0,55.0,66.0,86.4,92.8,98.4,296.0,36,1414,54,237.13888888888889,39.28895879039845,372.67629331467464,138887.6195987654,2.568137176347544,5.322379658739404,54.0,55.0,60.0,66.0,84.0,92.0,100.5,329.0,432.0,2845.6666666666665,1.3333333333333333,0.4714045207910317,3,12.0,1,0.2901960784313726,0.49019607843137253,0.2784313725490196,0.6039215686274509,169
704,"('191.232.139.254', 443)",1414,60,486.4,79.31921869004971,558.6054421503607,312040.0399999999,0.8146033034530233,-1.144560267837557,60.0,60.0,60.0,63.6,113.5,280.1999999999998,654.3,1170.8,1414.0,14,1211,54,258.92857142857144,8.895613311033612,324.55716297875216,105337.3520408163,1.8323804610822405,2.5579733470765307,54.0,54.0,54.0,54.0,60.0,211.59999999999997,250.0,402.0000000000001,603.0,24,1414,54,353.7083333333333,17.791226622067224,451.7078221563384,204039.95659722225,1.4155655049482865,0.5074144609508302,54.0,54.0,59.4,60.0,66.0,230.5999999999999,287.09999999999957,603.0,1180.6999999999998,4244.5,3.0,0.0,2,12.0,1,0.7490196078431373,0.9098039215686274,0.5450980392156862,0.996078431372549,170
705,"('191.232.139.253', 443)",1414,60,581.5,278.72921707905317,561.8351626589422,315658.75,0.5788946439604399,-1.4908289462511293,64.2,104.00000000000001,168.4,220.20000000000002,251.0,420.60000000000014,958.1999999999996,1262.4,1414.0,12,1227,54,280.6666666666667,0.0,419.26291141584284,175781.38888888888,1.674613925203416,0.9749265773417428,54.0,54.0,54.0,54.0,54.0,61.2,194.79999999999987,264.40000000000003,1087.9000000000003,20,1414,54,401.0,88.21483200108331,503.44066184606106,253452.5,1.1498638837720476,-0.4743098279615223,54.0,54.0,54.0,63.60000000000001,113.5,241.0,267.3,1063.8000000000002,1245.7000000000003,4010.0,1.5,0.5,2,10.0,1,0.7490196078431373,0.9098039215686274,0.5450980392156862,0.9921568627450981,170
706,"('111.221.29.254', 443)",1414,60,593.0,370.6505546264005,577.2627218173715,333232.25,0.46314497360019485,-1.5886152983074044,60.0,62.400000000000006,75.5,142.00000000000003,310.0,589.2000000000002,1044.8999999999996,1292.4,1414.0,11,1211,54,247.27272727272728,0.0,345.4546650717496,119338.9256198347,1.9643967256773454,2.6688465899900278,54.0,54.0,54.0,54.0,54.0,66.0,248.0,268.0,603.0,19,1414,54,392.8421052631579,17.791226622067224,488.40161032083927,238536.13296398893,1.20228168825041,-0.2071624715157494,54.0,54.0,56.39999999999999,61.199999999999996,66.0,230.5999999999999,382.59999999999997,805.8000000000002,1251.6,3732.0,2.0,0.0,2,9.5,1,0.43529411764705883,0.8666666666666667,0.11372549019607843,0.996078431372549,170
707,"('104.244.42.129', 443)",1414,60,538.8294117647059,266.86839933100833,569.807552924882,324680.6473702422,0.7278866155319251,-1.2984459120718472,60.0,60.0,60.0,139.0,240.0,321.0,948.6999999999997,1414.0,1414.0,125,1414,54,325.92,62.269293177235284,468.4234597028632,219420.53759999995,1.7128234281356665,1.1794347148904238,54.0,54.0,54.0,54.0,96.0,166.0,224.0,300.80000000000007,1414.0,295,1414,54,448.6135593220339,161.6036418171106,539.581143096788,291147.8099856363,1.0710274453589752,-0.6678017232618259,54.0,54.0,60.0,60.0,163.0,243.20000000000002,328.9999999999999,1291.6000000000013,1414.0,8822.733333333334,1.7333333333333334,0.6798692684790381,15,19.666666666666668,1,0.40784313725490196,0.9568627450980393,0.16470588235294117,0.5058823529411764,171
708,"('104.244.43.199', 443)",1414,60,1338.0122448979591,0.0,284.2209758539447,80781.56311536861,-3.923871258491694,13.966315005699371,1312.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,403,571,54,71.87593052109182,0.0,80.82118541094843,6532.064011230903,4.6460385100422,20.079621898173503,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,66.0,1138,1414,54,889.6353251318102,0.0,648.9622658893725,421152.02254826855,-0.4692504438057477,-1.7520642311929657,54.0,54.0,54.0,1312.0,1414.0,1414.0,1414.0,1414.0,1414.0,168734.16666666666,2.6666666666666665,1.247219128924647,6,189.66666666666666,1,0.40784313725490196,0.9568627450980393,0.16862745098039217,0.7803921568627451,171
709,"('104.244.42.75', 443)",1414,60,145.64912280701753,0.0,262.0564082325058,68673.56109572173,4.104225344912137,16.534565250589885,60.0,60.0,60.0,60.0,60.0,60.0,61.199999999999974,99.60000000000001,235.0,76,1414,54,830.4605263157895,220.16642944808189,612.8788289443062,375620.4589681441,-0.18044839876617172,-1.881615898591791,54.5,168.0,224.0,224.0,1265.5,1414.0,1414.0,1414.0,1414.0,133,1414,54,536.9699248120301,206.08170837227868,599.0999632889125,358920.7660127763,0.7027620995470258,-1.4125954001607317,60.0,60.0,60.0,95.20000000000002,199.0,224.0,1235.7999999999975,1414.0,1414.0,17854.25,1.75,0.4330127018922193,4,33.25,1,0.40784313725490196,0.9568627450980393,0.16470588235294117,0.29411764705882354,171
710,"('104.244.42.8', 443)",1414,60,327.05882352941177,56.33888430321287,435.52543933104334,189682.4083044983,1.7639851663154171,1.679458861198749,60.0,61.199999999999996,66.0,76.4,98.0,157.0,259.19999999999993,466.4000000000002,1006.6000000000001,17,730,54,162.88235294117646,17.791226622067224,206.9097223863419,42811.633217993076,2.0899839158909757,2.768890872119086,54.0,54.0,54.0,55.0,66.0,94.4,104.6,165.40000000000003,438.8000000000002,34,1414,54,244.97058823529412,56.33888430321287,350.6928843517474,122985.49913494808,2.3232935625778657,4.6096614358679995,54.0,55.0,60.0,66.0,92.0,102.80000000000001,159.29999999999995,282.80000000000007,716.8,2082.25,1.0,0.0,4,8.5,1,0.40784313725490196,0.9568627450980393,0.16470588235294117,0.03137254901960784,171
711,"('192.229.233.25', 443)",1414,60,917.3846153846154,0.0,589.436306790915,347435.1597633136,-0.4041850818008537,-1.7269880958062023,63.0,243.0,351.5,494.0,1414.0,1414.0,1414.0,1414.0,1414.0,18,571,54,132.61111111111111,0.0,160.0128949279085,25604.12654320988,1.7967215151611957,1.57262568292429,54.0,54.0,54.0,54.0,54.0,54.0,54.0,134.40000000000015,434.0,44,1414,54,596.3409090909091,331.36159583600204,603.8663286455876,364654.54287190083,0.5268715205264491,-1.5763641806320967,54.0,54.0,59.400000000000006,88.79999999999993,277.5,482.0,1414.0,1414.0,1414.0,13119.5,1.5,0.5,2,22.0,1,0.7529411764705882,0.8980392156862745,0.9137254901960784,0.09803921568627451,171
712,"('104.244.42.3', 443)",1414,60,298.88235294117646,56.33888430321287,421.9479870863568,178040.10380622832,2.082915000719526,2.787894870203428,60.0,61.199999999999996,66.0,76.4,98.0,165.79999999999998,230.39999999999995,353.6,819.4000000000003,17,737,54,134.8235294117647,17.791226622067224,162.6979284347377,26470.615916955023,2.9593285359343278,8.10149693069717,54.0,54.0,54.0,55.0,66.0,94.4,104.6,165.40000000000003,231.20000000000002,34,1414,54,216.85294117647058,56.33888430321287,330.12752726189825,108984.18425605538,2.8700422061795945,7.387369682881198,54.0,55.0,60.0,66.0,92.0,102.80000000000001,180.10000000000002,237.20000000000013,406.49999999999994,2457.6666666666665,1.3333333333333333,0.4714045207910317,3,11.333333333333334,1,0.40784313725490196,0.9568627450980393,0.16470588235294117,0.011764705882352941,171
713,"('108.160.172.193', 443)",1414,60,971.7,0.0,612.0400395398981,374593.00999999995,-0.7045079076943636,-1.4427262381748023,60.0,98.0,444.80000000000007,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,14,1264,54,157.42857142857142,0.0,309.4810666458368,95778.53061224488,3.236748721132473,8.684368562179886,54.0,54.0,54.0,54.0,54.0,54.0,55.2,98.00000000000003,175.40000000000003,34,1414,54,636.4117647058823,111.93646749717294,648.3706328240434,420384.47750865045,0.3169429206288368,-1.859328227558521,54.0,54.0,59.400000000000006,66.0,129.5,1128.6000000000006,1414.0,1414.0,1414.0,10819.0,2.0,0.0,2,17.0,1,0.4235294117647059,0.6274509803921569,0.6745098039215687,0.7568627450980392,172
714,"('212.179.154.231', 443)",1414,60,437.27272727272725,41.51286211815685,532.7092573745664,283779.152892562,1.0854485413032233,-0.5460163626078787,60.0,60.0,60.0,66.0,88.0,238.60000000000002,453.9999999999993,1010.799999999999,1414.0,33,341,54,109.93939393939394,1.482602218505602,95.52373634701114,9124.784205693297,1.6072613552732138,0.8204576990383758,54.0,54.0,54.0,54.800000000000004,55.0,84.8,92.0,97.80000000000001,305.40000000000003,77,1414,54,296.987012987013,17.791226622067224,438.5319219675853,192310.2465845843,1.8876117280819038,2.0277840294929943,54.0,55.0,60.0,60.0,66.0,92.0,251.1999999999999,328.40000000000003,1414.0,2858.5,1.375,0.9921567416492215,8,9.625,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.9058823529411765,173
715,"('212.179.154.223', 443)",1414,60,290.3478260869565,8.895613311033612,419.9312167999662,176342.22684310022,1.7406679488838306,1.7271727948430255,60.0,60.0,60.0,64.80000000000001,66.0,69.39999999999999,93.99999999999997,614.0000000000005,786.8,20,354,54,103.6,1.482602218505602,91.75532682084457,8419.039999999999,1.9406929323917768,2.119558943962266,54.0,54.0,54.699999999999996,55.0,55.0,73.20000000000002,89.19999999999999,96.6,271.4000000000001,43,1414,54,203.48837209302326,17.791226622067224,326.9780856104013,106914.66846944294,2.658428494106329,6.365346533950216,54.0,55.0,60.0,60.0,66.0,69.39999999999999,89.6,202.60000000000022,678.0000000000014,1250.0,1.1428571428571428,0.3499271061118826,7,6.142857142857143,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.8745098039215686,173
716,"('173.194.67.154', 443)",1414,60,281.24,14.82602218505602,433.20565831946374,187667.14239999998,2.0665346514168808,2.6516110610389863,60.0,60.0,66.0,66.0,70.0,89.6,107.59999999999998,355.2000000000002,1027.6000000000013,22,365,54,100.0,1.482602218505602,90.86253353280438,8256.0,2.096920555289435,2.7723804655618522,54.0,54.0,54.0,55.0,55.0,61.6,86.8,95.2,256.5000000000004,47,1414,54,196.40425531914894,17.791226622067224,334.46372824838147,111865.98551380717,3.0547719284874932,8.242935712022145,54.0,55.0,60.0,60.0,66.0,84.0,92.79999999999998,241.0000000000007,385.3999999999999,1318.7142857142858,1.1428571428571428,0.3499271061118826,7,6.714285714285714,1,0.6784313725490196,0.7607843137254902,0.2627450980392157,0.6039215686274509,173
